method,x,runs,runs_completed,completion_rate_percent,completion_ci_low,completion_ci_high,uav_completion_rate_percent,collision_rate_percent,collision_ci_high,dcrit_violation_rate_percent,success_rate_percent,success_ci_low,worst_dmin_all_m,worst_dmin_completed_m,mean_dmin_all_m,mean_dmin_completed_m,ci95_dmin_completed_m,margin_to_dcrit_m,mean_elongation_completed,ci95_elongation_completed,max_elongation_completed,mean_lateral_error_completed_m,ci95_lateral_error_completed_m,max_lateral_error_completed_m,mean_lateral_rmse_completed_m,ci95_lateral_rmse_completed_m,max_lateral_rmse_completed_m,mean_max_path_deviation_completed_m,ci95_max_path_deviation_completed_m,mean_mission_time_completed_s,ci95_mission_time_completed_s,worst_mission_time_completed_s,mean_information_age_s,max_information_age_s,dmin_drop_m,dmin_drop_ci_low_m,dmin_drop_ci_high_m,degradacao,comparavel
apf,80.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,4.027997009749619,4.027997009749619,4.761185016627974,4.761185016627974,0.0669008041027622,0.7611850166279739,1.5781645531969357,0.025736327032448818,2.2539656640196926,4.00307749799453,0.05681662366090308,4.637577665613134,5.15425279478928,0.04649403542193958,5.668815065158563,8.592513219131845,0.046579436279687685,168.792,4.282341385972473,274.65,0.5969073055385395,9.9,0.2516757132145928,0.16219684848755145,0.3411545779416342,relevante,True
orca_nd08,80.0,100,51,51.0,41.34784047743415,60.578169907613855,53.5,0.0,3.699480747600191,21.0,51.0,41.34784047743415,3.864959620182808,3.8767756984579127,3.9603899062768044,3.956656072850707,0.007424884372787534,-0.04334392714929303,1.0739763616036269,0.002009823099264639,1.0906071380995077,1.3604754376670007,0.04093676132333783,1.811766141483106,1.7811274842879596,0.03650795760141766,2.2215484234819494,3.7077589046585486,0.05539889183205356,245.43235294117648,10.829630372426221,400.34999999999997,0.5990228889642842,11.25,0.043340581294913694,0.03591569643947961,0.05076546615034778,mínima,True
orca_nd18,80.0,100,64,64.0,54.235219981162096,72.72892540950986,64.9,0.0,3.699480747600191,5.0,64.0,54.235219981162096,3.911998049867266,3.911998049867266,3.985671702703765,3.9781366829434543,0.004418452326492489,-0.02186331705654565,1.054001523269499,0.0022784261487062544,1.0799063701198133,1.2761479047921536,0.03262097853122904,1.9700972484394252,1.7143626546060589,0.026018257937132933,2.153429665229784,3.695201960236896,0.04129472822575114,216.80625,35.78607465315752,1142.25,0.5977794650181324,11.1,0.02186270019024672,0.01744424786297266,0.02628115251752078,mínima,True
orca_nd26,80.0,100,93,93.0,86.25032899347025,96.5681175635936,93.5,0.0,3.699480747600191,8.0,93.0,86.25032899347025,3.9034710535719377,3.9034710535719377,3.977421032132727,3.975871074727221,0.00387233737892825,-0.02412892527277899,1.045402263382837,0.001539609672310064,1.0844008081589203,1.2397193887051472,0.021426243509775022,1.5289707336205847,1.6527559371499603,0.02267691451826075,1.96531861078322,3.531561424512967,0.041512227461550026,168.13387096774193,4.838796619742471,290.09999999999997,0.5976150210838796,10.65,0.024128694182726118,0.020256356803048717,0.02800103156240352,mínima,True
apf,90.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,3.0,100.0,96.30051925239981,3.2051413716279202,3.2051413716279202,4.596724175678851,4.596724175678851,0.07282826135186385,0.596724175678851,1.6632023550607455,0.027134596009941732,2.4612149860352384,4.050973519969942,0.0518723029463883,4.663709872190923,5.202021585128786,0.04501765086284448,5.726290524497595,8.57785350847223,0.05143081324375746,180.795,4.505748571965418,303.15,1.3376593132221695,19.2,0.41613655416371564,0.32218287576046056,0.5100902325669707,relevante,True
orca_nd08,90.0,100,79,79.0,70.01985069803767,85.83445046835422,80.3,0.0,3.699480747600191,96.0,79.0,70.01985069803767,3.3841858532228413,3.3841858532228413,3.853510051731266,3.8431466615404974,0.026480735915446803,-0.15685333845950256,1.0818012326341695,0.0018989185556316306,1.1017356292830338,1.3113227063359831,0.033616856144400284,2.0471771043690636,1.7703831683473483,0.02854822247446254,2.210452009122988,3.7308640413070666,0.04493560686332985,238.82278481012656,16.408112180488853,767.1,1.3433011620788147,20.849999999999998,0.15684999260512322,0.1303692565513962,0.18333072865885025,relevante,True
orca_nd18,90.0,100,85,85.0,76.71626666784216,90.6940968088377,85.9,0.0,3.699480747600191,49.0,85.0,76.71626666784216,3.475137086883678,3.475137086883678,3.9225998262499355,3.9095554666158536,0.019940886575504992,-0.09044453338414637,1.059657921430528,0.0016081746122062408,1.0756414562607575,1.261800473829598,0.02207330087162725,1.526011349004295,1.711421580958896,0.021805532741364087,1.9697184441414877,3.701189618557831,0.03998980795878326,208.73823529411763,24.63726235033945,1195.95,1.3404954061965275,22.65,0.09044391651784744,0.07050302994216727,0.11038480309352762,mínima,True
orca_nd26,90.0,100,98,98.0,92.99868370580063,99.44981477650317,98.1,0.0,3.699480747600191,56.99999999999999,98.0,92.99868370580063,3.601326476813678,3.601326476813678,3.9170180549723272,3.915351877740668,0.01628731352524915,-0.08464812225933205,1.0504805086008735,0.0013770829069655662,1.0723865885200008,1.2365134915384144,0.02121013228557461,1.5560770524322096,1.6802699798149825,0.02247055907234244,1.9770975773353432,3.603670569715785,0.03992243778261969,167.73367346938775,3.1349970075892766,228.6,1.3373560282625592,21.45,0.08464789116927918,0.06836057764385163,0.10093520469470672,mínima,True
apf,91.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,7.000000000000001,100.0,96.30051925239981,3.327260447297755,3.327260447297755,4.509585352988503,4.509585352988503,0.07325102004084397,0.5095853529885028,1.6828630014822263,0.0339719398751928,2.998804349863701,4.059011406925877,0.05240473623294921,4.738516530891866,5.205391922637937,0.042936392433243854,5.695927839407469,8.590120950534729,0.04104453726913408,183.09449999999998,5.666509485616914,412.2,1.501659232720327,20.25,0.5032753768540639,0.40899626239275666,0.5975544913153711,relevante,True
orca_nd08,91.0,100,78,78.0,68.9294652849997,84.9988254963442,79.2,0.0,3.699480747600191,96.0,78.0,68.9294652849997,3.4027681887969625,3.4558658202449166,3.8189778995089556,3.824041370366386,0.021719572360712244,-0.1759586296336142,1.0814550635992535,0.0020903129681146687,1.1127948901803402,1.3064147070046748,0.027845947979731125,1.6137518117620882,1.7779979789279898,0.028419206319253345,2.0806913662409476,3.7710910939508313,0.044271681982087904,231.7423076923077,16.29672468396524,765.3,1.5069969397805028,23.55,0.17595528377923486,0.1542357112500104,0.19767485630845932,relevante,True
